data,price,ClusterLabels,year,month,plotDate
2022-02-15,10500,1,2022,2,2
2022-02-15,8500,0,2022,2,2
2022-02-15,16496,0,2022,2,2
2022-02-15,10500,0,2022,2,2
2022-02-15,10800,1,2022,2,2
2022-02-15,17900,0,2022,2,2
2022-02-15,10900,1,2022,2,2
2022-02-15,12900,0,2022,2,2
2022-02-15,15490,0,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,10500,0,2022,2,2
2022-02-15,6999,1,2022,2,2
2022-02-15,12900,0,2022,2,2
2022-02-15,17999,0,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,10000,0,2022,2,2
2022-02-15,7400,0,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,10300,1,2022,2,2
2022-02-15,13170,0,2022,2,2
2022-02-15,7990,1,2022,2,2
2022-02-15,8000,0,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,8750,0,2022,2,2
2022-02-15,13000,0,2022,2,2
2022-02-15,13500,0,2022,2,2
2022-02-15,7900,1,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,7990,1,2022,2,2
2022-02-15,19000,0,2022,2,2
2022-02-15,26000,0,2022,2,2
2022-02-15,10000,1,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,8800,1,2022,2,2
2022-02-15,13500,0,2022,2,2
2022-02-15,14200,0,2022,2,2
2022-02-15,12900,0,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,9200,0,2022,2,2
2022-02-15,5800,1,2022,2,2
2022-02-15,14450,0,2022,2,2
2022-02-15,8490,1,2022,2,2
2022-02-15,12000,0,2022,2,2
2022-02-15,21000,0,2022,2,2
2022-02-15,10999,1,2022,2,2
2022-02-15,9000,0,2022,2,2
2022-02-15,11500,1,2022,2,2
2022-02-15,13900,0,2022,2,2
2022-02-15,20000,1,2022,2,2
2022-02-15,10500,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,12900,0,2022,2,2
2022-02-15,22500,0,2022,2,2
2022-02-15,16900,0,2022,2,2
2022-02-15,19200,0,2022,2,2
2022-02-15,8800,1,2022,2,2
2022-02-15,9800,1,2022,2,2
2022-02-15,11900,1,2022,2,2
2022-02-15,6700,1,2022,2,2
2022-02-15,18500,0,2022,2,2
